506174,4187346
668477,974731
4764743,2286415
12073081,974731
1040828,974731
11598293,8473090
11598293,974731
12088090,8473090
6656759,2650436
9561338,974731
9561338,8473090
2111584,8473090
12261834,8473090
12261834,974731
12259229,974731
12257429,8226114
12257429,974731
11009000,974731
12071124,7607190
12071124,974731
5269294,92359
2988083,974731
12251787,92359
10249398,12251717
2587904,8226114
9825326,974731
9825326,8226114
3564491,974731
5380809,8226114
12234485,92359
10539522,974731
9530105,4187346
8086529,974731
8727780,974731
3686866,974731
4414246,974731
8727780,974731
10768865,974731
6660980,974731
11562724,6024220
2171338,1364771
9825326,974731
9625000,974731
9625000,92359
11870274,9576186
9530105,951609
2000422,3952697
11562724,9825123
3484252,951609
3484252,974731
12212407,974731
1491433,2314073
1337396,951609
11242459,92359
303229,951609
650749,8473090
650749,974731
3277821,8473090
4173251,974731
4173251,92359
504487,2286415
12071124,2286415
6167229,2286415
10092903,10768865
11802163,8473090
3614855,974731
12195945,974731
9530105,6692895
12194946,974731
3137190,974731
9530105,974731
286795,2286415
67872,6660980
